Date,Close,High,Low,Open,Volume
2025-01-02,20024.66015625,20024.7890625,19833.8203125,19923.0703125,52445600
2025-01-03,19906.080078125,20031.109375,19868.140625,20028.400390625,44372900
2025-01-06,20216.189453125,20216.189453125,19921.119140625,19982.66015625,70784900
2025-01-07,20340.5703125,20391.169921875,20152.69921875,20206.0390625,62020000
2025-01-08,20329.939453125,20480.490234375,20242.560546875,20322.169921875,62954900
2025-01-09,20317.099609375,20360.380859375,20245.9609375,20284.19921875,50177100
2025-01-10,20214.7890625,20400.51953125,20187.970703125,20316.55078125,76245500
2025-01-13,20132.849609375,20176.109375,20025.279296875,20157.240234375,56263600
2025-01-14,20271.330078125,20362.58984375,20234.259765625,20266.140625,65394100
2025-01-15,20574.6796875,20629.76953125,20290.619140625,20305.240234375,81035100
2025-01-16,20655.390625,20675.080078125,20580.08984375,20665.609375,66273400
2025-01-17,20903.390625,20924.5,20716.380859375,20732.0390625,76253100
2025-01-20,20990.310546875,21054.599609375,20880.5703125,20900.6796875,49988700
2025-01-21,21042.0,21045.669921875,20922.80078125,20925.75,49305500
2025-01-22,21254.26953125,21330.869140625,21162.310546875,21169.609375,63282300
2025-01-23,21411.529296875,21423.01953125,21254.080078125,21277.580078125,56353200
2025-01-24,21394.9296875,21520.5,21353.009765625,21463.150390625,67380500
2025-01-27,21282.1796875,21344.98046875,21081.609375,21201.990234375,79343800
2025-01-28,21430.580078125,21475.900390625,21296.330078125,21374.2890625,68020300
2025-01-29,21637.529296875,21671.58984375,21475.640625,21511.470703125,69568800
2025-01-30,21727.19921875,21732.05078125,21650.779296875,21676.220703125,81446400
2025-01-31,21732.05078125,21800.51953125,21689.2890625,21771.490234375,70233900
2025-02-03,21428.240234375,21462.7890625,21252.7109375,21301.529296875,80512800
2025-02-04,21505.69921875,21518.5390625,21298.7109375,21474.7890625,63679500
2025-02-05,21585.9296875,21585.9296875,21387.720703125,21429.830078125,61173700
2025-02-06,21902.419921875,21921.01953125,21691.5703125,21718.099609375,75964300
2025-02-07,21787.0,21945.310546875,21759.970703125,21908.48046875,68654900
2025-02-10,21911.740234375,21945.5703125,21785.01953125,21830.9296875,54330700
2025-02-11,22037.830078125,22046.41015625,21884.380859375,21909.9609375,55759600
2025-02-12,22148.029296875,22193.650390625,21971.630859375,22077.8203125,73775600
2025-02-13,22612.01953125,22624.5703125,22306.330078125,22410.580078125,96482400
2025-02-14,22513.419921875,22609.970703125,22467.369140625,22526.869140625,68291600
2025-02-17,22798.08984375,22804.19921875,22550.73046875,22589.91015625,49597100
2025-02-18,22844.5,22882.76953125,22715.25,22851.369140625,61526100
2025-02-19,22433.630859375,22935.060546875,22416.109375,22875.9609375,72215900
2025-02-20,22314.650390625,22574.58984375,22280.23046875,22501.2109375,70289500
2025-02-21,22287.560546875,22393.58984375,22226.33984375,22329.220703125,73524500
2025-02-24,22425.9296875,22515.359375,22235.259765625,22470.6796875,72044300
2025-02-25,22410.26953125,22576.119140625,22332.150390625,22362.810546875,71533100
2025-02-26,22794.109375,22833.25,22554.369140625,22571.9296875,81091100
2025-02-27,22550.890625,22686.41015625,22378.060546875,22587.26953125,74227200
2025-02-28,22551.4296875,22551.4296875,22329.060546875,22409.25,119058500
2025-03-03,23147.01953125,23307.970703125,22531.599609375,22682.94921875,94040900
2025-03-04,22326.810546875,22869.919921875,22320.0703125,22852.720703125,108160100
2025-03-05,23081.029296875,23176.390625,22790.890625,22804.810546875,143963500
2025-03-06,23419.48046875,23475.880859375,23061.5703125,23245.33984375,149033300
2025-03-07,23008.939453125,23234.279296875,22860.080078125,23195.220703125,106635100
2025-03-10,22620.94921875,23164.240234375,22519.2109375,23163.779296875,108707000
2025-03-11,22328.76953125,22835.099609375,22258.30078125,22680.390625,97374800
2025-03-12,22676.41015625,22813.83984375,22461.76953125,22525.740234375,80929100
2025-03-13,22567.140625,22752.830078125,22417.51953125,22578.099609375,78955600
2025-03-14,22986.8203125,23049.48046875,22465.119140625,22501.33984375,93287400
2025-03-17,23154.5703125,23154.5703125,22933.5703125,22998.529296875,67152000
2025-03-18,23380.69921875,23476.009765625,23240.560546875,23266.650390625,80663300
2025-03-19,23288.060546875,23372.080078125,23136.5390625,23272.150390625,79641400
2025-03-20,22999.150390625,23315.490234375,22819.759765625,23295.720703125,92465800
2025-03-21,22891.6796875,22956.98046875,22723.189453125,22926.419921875,146780700
2025-03-24,22852.66015625,23137.48046875,22813.109375,23075.759765625,66759300
2025-03-25,23109.7890625,23182.779296875,22845.51953125,22913.419921875,60671100
2025-03-26,22839.029296875,23204.58984375,22826.369140625,23202.25,57800000
2025-03-27,22678.740234375,22740.470703125,22469.880859375,22574.4609375,74817500
2025-03-28,22461.51953125,22614.9609375,22377.91015625,22558.83984375,81650800
2025-03-31,22163.490234375,22320.01953125,21978.4609375,22253.05078125,83869100
2025-04-01,22539.98046875,22573.7109375,22297.369140625,22343.41015625,67890100
2025-04-02,22390.83984375,22485.41015625,22139.26953125,22483.9296875,61146900
2025-04-03,21717.390625,22147.44921875,21670.9609375,21842.080078125,117129300
2025-04-04,20641.720703125,21642.169921875,20437.369140625,21543.470703125,188118500
2025-04-07,19789.619140625,20799.6796875,18489.91015625,18751.75,246525700
2025-04-08,20280.259765625,20468.4296875,19884.48046875,20039.689453125,137326200
2025-04-09,19670.880859375,20025.380859375,19384.390625,19833.560546875,141645300
2025-04-10,20562.73046875,21300.310546875,20562.73046875,21207.759765625,135458900
2025-04-11,20374.099609375,20796.44921875,20114.5390625,20787.060546875,100475700
2025-04-14,20954.830078125,21048.330078125,20698.91015625,20802.419921875,74524500
2025-04-15,21253.69921875,21288.119140625,21042.26953125,21076.060546875,66922800
2025-04-16,21311.01953125,21315.9609375,20956.380859375,21117.779296875,62776400
2025-04-17,21205.859375,21436.66015625,21142.259765625,21433.55078125,66669900
2025-04-22,21293.529296875,21296.91015625,21044.609375,21150.5390625,62154800
2025-04-23,21961.970703125,22043.75,21722.83984375,21801.66015625,88573200
2025-04-24,22064.509765625,22081.51953125,21731.7890625,21890.099609375,62636800
