Date,Close,High,Low,Open,Volume
2024-01-02,17853.759765625,17956.740234375,17784.970703125,17939.7890625,3254000
2024-01-03,17559.310546875,17829.279296875,17518.189453125,17829.279296875,3095000
2024-01-04,17549.650390625,17609.890625,17515.73046875,17574.390625,3096700
2024-01-05,17519.140625,17606.7890625,17495.390625,17559.400390625,3084900
2024-01-08,17572.66015625,17688.109375,17534.51953125,17534.51953125,3044600
2024-01-09,17535.490234375,17694.259765625,17517.55078125,17585.400390625,3213400
2024-01-10,17465.630859375,17499.4296875,17439.26953125,17495.669921875,2843300
2024-01-11,17545.3203125,17574.919921875,17476.869140625,17477.880859375,2880100
2024-01-12,17512.830078125,17570.630859375,17469.869140625,17536.05078125,2596200
2024-01-15,17546.8203125,17632.76953125,17532.98046875,17541.259765625,0
2024-01-16,17346.869140625,17523.779296875,17337.580078125,17523.779296875,3415100
2024-01-17,17161.7890625,17361.05078125,17151.580078125,17341.580078125,3977500
2024-01-18,17227.7890625,17300.2890625,17169.099609375,17169.099609375,3027100
2024-01-19,17681.51953125,17682.970703125,17499.849609375,17546.509765625,3364900
2024-01-22,17815.099609375,17869.0703125,17765.130859375,17770.779296875,3480100
2024-01-23,17874.58984375,17893.73046875,17801.890625,17840.279296875,3182700
2024-01-24,17875.830078125,17944.98046875,17856.33984375,17883.619140625,2687500
2024-01-25,18002.619140625,18014.259765625,17894.830078125,17894.830078125,2496500
2024-01-26,17995.029296875,18029.849609375,17943.650390625,17985.439453125,2484900
2024-01-29,18119.630859375,18119.630859375,17995.109375,18001.240234375,2167700
2024-01-30,18034.630859375,18138.740234375,18034.630859375,18083.44921875,2422700
2024-01-31,17889.560546875,17996.330078125,17874.94921875,17970.41015625,2303000
2024-02-01,17968.109375,17968.109375,17832.94921875,17871.26953125,2620500
2024-02-02,18059.9296875,18059.9296875,17985.890625,18016.349609375,2697800
2024-02-05,18096.0703125,18115.80078125,17992.169921875,18047.400390625,2575800
2024-02-15,18644.5703125,18725.470703125,18550.859375,18664.44921875,3727500
2024-02-16,18607.25,18715.689453125,18585.140625,18639.66015625,3658600
2024-02-19,18635.80078125,18663.740234375,18561.0390625,18561.0390625,3839600
2024-02-20,18753.16015625,18756.330078125,18610.2109375,18610.2109375,3375300
2024-02-21,18676.310546875,18729.029296875,18645.26953125,18673.490234375,3295300
2024-02-22,18852.779296875,18881.76953125,18758.150390625,18826.849609375,3580200
2024-02-23,18889.189453125,19012.380859375,18889.189453125,18950.0703125,3696800
2024-02-26,18948.05078125,18974.080078125,18854.7109375,18899.390625,3220600
2024-02-27,18854.41015625,19023.009765625,18752.529296875,18964.490234375,3784600
2024-02-29,18966.76953125,19019.689453125,18794.619140625,18796.5390625,3892000
2024-03-01,18935.9296875,19041.919921875,18923.4609375,19021.349609375,3350500
2024-03-04,19305.310546875,19333.390625,18952.689453125,18952.689453125,4014800
2024-03-05,19386.919921875,19453.849609375,19332.73046875,19398.970703125,3826500
2024-03-06,19499.44921875,19532.30078125,19246.30078125,19283.609375,3886200
2024-03-07,19693.51953125,19794.5703125,19630.7890625,19678.359375,4581400
2024-03-08,19785.3203125,20065.5,19638.130859375,19966.490234375,4903500
2024-03-11,19726.080078125,19828.69921875,19649.669921875,19671.900390625,3536700
2024-03-12,19914.55078125,19917.060546875,19664.7109375,19672.759765625,4044500
2024-03-13,19928.509765625,20112.810546875,19866.73046875,20024.830078125,4854900
2024-03-14,19937.919921875,19995.509765625,19775.5,19920.630859375,4476200
2024-03-15,19682.5,19888.130859375,19682.5,19845.44921875,5186200
2024-03-18,19879.849609375,19879.859375,19706.109375,19706.109375,3761200
2024-03-19,19857.19921875,19921.25,19762.16015625,19798.119140625,4061600
2024-03-20,19784.44921875,19994.419921875,19728.4296875,19879.25,4499200
2024-03-21,20199.08984375,20199.30078125,19843.80078125,19843.80078125,4424400
2024-03-22,20228.4296875,20296.099609375,20084.310546875,20232.060546875,4690300
2024-03-25,20192.25,20285.380859375,20172.80078125,20228.640625,3611700
2024-03-26,20126.490234375,20397.0703125,19977.400390625,20208.880859375,4582900
2024-03-27,20200.119140625,20255.099609375,20108.9609375,20158.0703125,3865800
2024-03-28,20146.55078125,20222.19921875,20065.9296875,20213.33984375,4294000
2024-03-29,20294.44921875,20335.919921875,20156.33984375,20156.33984375,4231500
2024-04-01,20222.330078125,20387.23046875,20217.580078125,20319.73046875,3144500
2024-04-02,20466.5703125,20466.5703125,20359.810546875,20359.810546875,3410300
2024-04-03,20337.599609375,20403.73046875,20269.66015625,20388.83984375,3449300
2024-04-08,20417.69921875,20487.830078125,20379.830078125,20395.05078125,3597800
2024-04-09,20796.19921875,20820.810546875,20521.560546875,20521.560546875,4638900
2024-04-10,20763.529296875,20883.689453125,20763.529296875,20789.419921875,4529300
2024-04-11,20753.220703125,20770.830078125,20651.880859375,20713.25,4546200
2024-04-12,20736.5703125,20825.0390625,20713.869140625,20772.7890625,4725000
2024-04-15,20449.76953125,20623.76953125,20449.76953125,20586.529296875,4754200
2024-04-16,19901.9609375,20365.109375,19844.5390625,20365.109375,5377200
2024-04-17,20213.330078125,20264.990234375,19986.619140625,19986.619140625,3987800
2024-04-18,20301.19921875,20363.08984375,20057.810546875,20126.5703125,4862300
2024-04-19,19527.119140625,19992.060546875,19291.880859375,19992.060546875,7130900
2024-04-22,19411.220703125,19695.490234375,19395.310546875,19466.439453125,5729000
2024-04-23,19599.279296875,19709.0,19509.740234375,19564.380859375,4097700
2024-04-24,20131.740234375,20165.76953125,19770.4609375,19770.4609375,4696300
2024-04-25,19857.419921875,20003.0,19848.5703125,20003.0,3809400
2024-04-26,20120.509765625,20226.2890625,20087.609375,20094.169921875,4713100
2024-04-29,20495.51953125,20495.51953125,20235.9296875,20235.9296875,5508500
2024-04-30,20396.599609375,20559.970703125,20396.599609375,20508.48046875,4326200
2024-05-02,20222.439453125,20360.669921875,20222.439453125,20360.669921875,4720400
2024-05-03,20330.3203125,20521.490234375,20272.33984375,20381.98046875,4752500
2024-05-06,20523.310546875,20639.900390625,20479.80078125,20479.80078125,4590100
2024-05-07,20653.529296875,20689.189453125,20493.80078125,20634.619140625,4547600
2024-05-08,20700.509765625,20700.509765625,20547.48046875,20604.1796875,4479700
2024-05-09,20560.76953125,20754.609375,20560.76953125,20710.05078125,4326400
2024-05-10,20708.83984375,20765.8203125,20574.009765625,20582.119140625,5206400
2024-05-13,20857.7109375,20933.279296875,20816.419921875,20905.16015625,4809000
2024-05-14,20985.849609375,20994.529296875,20816.76953125,20835.94921875,5002300
2024-05-15,21147.2109375,21308.3203125,20984.69921875,20984.69921875,5100000
2024-05-16,21304.259765625,21515.51953125,21249.880859375,21319.01953125,5601100
2024-05-17,21258.470703125,21346.75,21218.33984375,21346.75,5081300
2024-05-20,21271.630859375,21338.349609375,21102.1796875,21278.380859375,5277600
2024-05-21,21236.75,21307.080078125,21131.619140625,21239.259765625,4601200
2024-05-22,21551.830078125,21567.48046875,21248.990234375,21248.990234375,5382400
2024-05-23,21607.4296875,21668.83984375,21475.990234375,21668.83984375,5498400
2024-05-24,21565.33984375,21608.720703125,21381.25,21442.669921875,4233200
2024-05-27,21803.76953125,21871.33984375,21699.98046875,21699.98046875,4877400
2024-05-28,21858.41015625,21937.400390625,21812.19921875,21812.19921875,4906000
2024-05-29,21662.5,21906.099609375,21662.5,21846.41015625,5223800
2024-05-30,21364.48046875,21558.359375,21364.240234375,21481.390625,4495700
