Price,Close,High,Low,Open,Volume
Ticker,^TWII,^TWII,^TWII,^TWII,^TWII
Date,,,,,
2023-01-03,14224.1201171875,14237.9404296875,14001.9697265625,14108.16015625,1816400
2023-01-04,14199.1298828125,14257.4501953125,14177.9697265625,14186.9501953125,2073800
2023-01-05,14301.0498046875,14357.599609375,14270.9296875,14285.1201171875,2086500
2023-01-06,14373.33984375,14384.919921875,14278.51953125,14278.51953125,1741200
2023-01-09,14752.2099609375,14752.2099609375,14504.4697265625,14504.4697265625,2581100
2023-01-10,14802.9599609375,14816.1298828125,14728.5595703125,14796.26953125,2069800
2023-01-11,14751.4404296875,14842.740234375,14734.4404296875,14822.8603515625,1986800
2023-01-12,14731.6396484375,14813.3095703125,14700.73046875,14780.580078125,1812900
2023-01-13,14824.1298828125,14962.3095703125,14822.150390625,14923.0498046875,1786500
2023-01-16,14927.009765625,14960.919921875,14895.259765625,14895.259765625,1611600
2023-01-17,14932.9296875,14945.23046875,14884.7802734375,14922.33984375,1772600
2023-01-30,15493.8203125,15493.8203125,15291.5302734375,15291.5302734375,3697500
2023-01-31,15265.2001953125,15441.98046875,15265.2001953125,15419.2099609375,3357200
2023-02-01,15420.1298828125,15420.1298828125,15291.6796875,15346.349609375,3009800
2023-02-02,15595.16015625,15602.08984375,15496.51953125,15508.830078125,3248500
2023-02-03,15602.66015625,15617.73046875,15504.0302734375,15591.9501953125,2647300
2023-02-06,15392.8203125,15514.7998046875,15392.8203125,15514.7998046875,2320600
2023-02-07,15400.91015625,15462.099609375,15363.650390625,15376.1201171875,2251800
2023-02-08,15618.169921875,15631.2197265625,15520.0498046875,15538.7099609375,2514500
2023-02-09,15598.7099609375,15617.33984375,15553.83984375,15590.0,2236100
2023-02-10,15586.650390625,15628.2998046875,15546.1103515625,15627.330078125,2483000
2023-02-13,15544.2802734375,15569.990234375,15465.5595703125,15564.759765625,2184300
2023-02-14,15654.48046875,15669.6298828125,15584.740234375,15584.740234375,2077800
2023-02-15,15432.8896484375,15553.6796875,15388.849609375,15497.669921875,2438100
2023-02-16,15550.5,15585.48046875,15474.4599609375,15474.4599609375,2883000
2023-02-17,15479.7001953125,15503.75,15418.4296875,15503.75,2528300
2023-02-20,15551.23046875,15575.3203125,15436.66015625,15452.009765625,2994900
2023-02-21,15563.0,15567.740234375,15496.73046875,15535.6396484375,2997300
